,pr_number,po_number,pr_po_no,uid_number,activity,date,item,item_line,po_line,gr_number,gr_line,inv_line,wf_line
996,4121135815,5620505498,,,GR Goods Receipt,20240110 09:07:28.000000,20,['i2186'],['po35'],5010668540,['gr2457'],,
997,0,6221390948,,,GR Goods Receipt,20240110 09:25:01.000000,10,['i83337'],['po23041'],5010668747,['gr48722'],,
998,0,5911239462,0-5911239462,66A25F23637B44239CF6D94FDC1EE5E0,Invoice Created,20240110 09:31:13.000000,"10, 20, 30","['i80039', 'i80040', 'i80041']",,0,,['v12173'],
999,0,5911239462,0-5911239462,66A25F23637B44239CF6D94FDC1EE5E0,Invoice Created,20240110 09:41:41.000000,"10, 20, 30","['i80039', 'i80040', 'i80041']",,0,,['v12173'],
1000,0,5911239462,0-5911239462,66A25F23637B44239CF6D94FDC1EE5E0,Invoice Created,20240110 09:45:52.000000,"10, 20, 30","['i80039', 'i80040', 'i80041']",,0,,['v12173'],
1001,0,6221391527,,,GR Goods Receipt,20240110 09:48:14.000000,10,['i83361'],['po23052'],5010668906,['gr48745'],,
1002,0,6221391528,,,GR Goods Receipt,20240110 09:53:37.000000,10,['i83362'],['po23053'],5010668967,['gr48746'],,
1003,0,6221391530,,,GR Goods Receipt,20240110 10:05:52.000000,10,['i83363'],['po23054'],5010668982,['gr48747'],,
1004,0,6221375508,0-6221375508,8F06AA2E2AC64DCDA9E43514FD3F6050,Invoice Posted,20240110 10:10:43.000000,10,['i82918'],,0,,['v16934'],
1005,0,6221375508,0-6221375508,8F06AA2E2AC64DCDA9E43514FD3F6050,Invoice Posted,20240110 10:17:21.000000,10,['i82918'],,0,,['v16934'],
1006,0,6221375508,0-6221375508,DF34BE60A7CE4D2B94F3DA54DBB5A50B,Invoice Posted,20240110 10:33:22.000000,10,['i82918'],,0,,['v26395'],
1007,0,6221390966,0-6221390966,BD154F33623948FFAD45422CDC3665D0,Invoice Created,20240110 10:58:50.000000,10,['i83338'],['po23042'],0,,['v22509'],
1008,0,6221390967,0-6221390967,E0B2D85C3C3940C6B439AF73EFA80CBA,Invoice Created,20240110 10:59:12.000000,10,['i83339'],['po23043'],0,,['v26562'],
1009,0,6221375508,0-6221375508,12EC6FB572B54E4198935FA1BD1F0F6G,Invoice Posted,20240110 11:10:07.000000,10,['i82918'],,0,,['v2264'],
1010,0,6221375508,0-6221375508,12EC6FB572B54E4198935FA1BD1F0F6G,Invoice Posted,20240110 11:10:41.000000,10,['i82918'],,0,,['v2264'],
1011,0,6221390969,0-6221390969,B7E8240FE1F1436381BE68429BA4A8E1,Invoice Created,20240110 11:20:53.000000,10,['i83341'],['po23045'],0,,['v21807'],
1012,0,6221385508,0-6221385508,0E1D9C6AD8034B47AEC6DCB641AC930F,Invoice Errors,20240110 11:24:06.000000,10,['i83140'],,0,,['v1635'],
1013,0,6221385508,0-6221385508,0E1D9C6AD8034B47AEC6DCB641AC930F,WF GR_Missing_Sent,20240110 11:36:27.000000,10,['i83140'],,0,,['v1635'],['wf1480']
1014,0,6221385508,0-6221385508,0E1D9C6AD8034B47AEC6DCB641AC930F,Invoice WF_GR_MISSING,20240110 11:50:11.000000,10,['i83140'],,0,,['v1635'],['wf1480']
1015,0,6221385508,0-6221385508,A6ADD0C8C9324A5DA2BD1559F8ACA048,Invoice Errors,20240110 11:51:12.000000,10,['i83140'],,0,,['v19784'],
